koi_period,koi_prad,koi_srad,koi_steff,koi_slogg,label,mission
30.1329298,3.14,0.866,5527.0,4.488,1.0,Kepler
4.79090809,1.36,0.866,5527.0,4.488,1.0,Kepler
31.71981013,3.09,1.626,5869.0,4.024,1.0,Kepler
99.6415962,2.64,0.866,5527.0,4.488,1.0,Kepler
4.708326451,10.6,1.21,5560.0,4.246,1.0,Kepler
16.37198661,540.37,0.592,4187.0,4.656,0.0,Kepler
5.392026903,2.68,0.801,5198.0,4.589,1.0,Kepler
2.494170338,2.42,0.829,5569.0,4.566,1.0,Kepler
6.491682808,9.66,1.107,6123.0,4.413,1.0,Kepler
3.044770796,24.54,0.753,5525.0,4.603,0.0,Kepler
3.855603916,13.61,1.046,6033.0,4.46,1.0,Kepler
3.855599139,3.57,0.965,5936.0,4.501,0.0,Kepler
38.47876629,13.26,0.879,5510.0,4.539,1.0,Kepler
37.601661282,27.22,1.096,6140.0,4.354,0.0,Kepler
3.314947362,3.94,0.944,5609.0,4.481,1.0,Kepler
6.71969089,4.37,0.866,5931.0,4.479,0.0,Kepler
39.6431552,10.98,0.9,5231.0,4.455,1.0,Kepler
51.42598578,29.66,1.147,6257.0,4.41,0.0,Kepler
21.80451611,2.6,0.708,5481.0,4.629,1.0,Kepler
10.28194593,2.53,0.775,5196.0,4.593,1.0,Kepler
18.11993039,2.95,0.775,5196.0,4.593,1.0,Kepler
3.78402867,1.7,0.775,5196.0,4.593,1.0,Kepler
5.15448142,2.94,0.884,5431.0,4.457,1.0,Kepler
33.80364366,20.7,1.796,5855.0,3.999,0.0,Kepler
5.743469797,3.13,0.891,5897.0,4.531,1.0,Kepler
39.4759093,4.06,1.031,6225.0,4.45,1.0,Kepler
19.974485239,26.56,0.997,6108.0,4.471,0.0,Kepler
3.166353562,3.82,0.998,6007.0,4.47,1.0,Kepler
23.899634407,44.04,0.924,6192.0,4.503,0.0,Kepler
3.388012244,2.11,1.25,5553.0,4.221,1.0,Kepler
5.83909761,2.06,1.25,5553.0,4.221,1.0,Kepler
1.620467654,1.57,1.25,5553.0,4.221,1.0,Kepler
10.6816951,2.3,1.25,5553.0,4.221,1.0,Kepler
6.104849417,3.18,0.712,5085.0,4.584,1.0,Kepler
3.578780566,10.43,0.994,5524.0,4.421,1.0,Kepler
3.187067566,23.88,0.811,5450.0,4.552,0.0,Kepler
5.826657508,4.09,1.06,5561.0,4.362,1.0,Kepler
12.41216347,2.58,1.06,5561.0,4.362,1.0,Kepler
18.74649011,3.05,1.06,5561.0,4.362,1.0,Kepler
20.86021229,5.5,1.257,6035.0,4.22,1.0,Kepler
42.63427848,5.22,1.257,6035.0,4.22,1.0,Kepler
87.6476068,4.0,1.257,6035.0,4.22,1.0,Kepler
9.61731426,1.94,1.257,6035.0,4.22,1.0,Kepler
9.467821474,2.13,0.458,3582.0,4.807,1.0,Kepler
0.893040969,1.24,0.458,3582.0,4.807,1.0,Kepler
4.942783419,10.62,0.978,5514.0,4.459,1.0,Kepler
20.83426731,2.74,0.88,5537.0,4.549,1.0,Kepler
9.94602357,3.12,1.013,5344.0,4.365,1.0,Kepler
